Stadt,Prozent,Wert
Zürich,0.3049,170.4
Zürich,0.02111,134.4
Zürich,0.6984,81.89
Zürich,0.05244,29.32
Zürich,0.2335,155.0
Zürich,0.5772,22.04
Zürich,0.4138,32.15
Zürich,0.3062,88.01
Zürich,0.7160,97.65
Zürich,0.05817,185.7
Zürich,0.07616,44.33
Zürich,0.6261,146.6
Zürich,0.1639,17.35
Zürich,0.02157,7.829
Zürich,0.02381,41.47
Zürich,0.9712,45.41
Zürich,0.1448,47.12
Zürich,0.8668,109.2
Zürich,0.1870,20.86
Zürich,0.6704,182.7
Zürich,0.3416,183.1
Zürich,0.4953,114.1
Zürich,0.9963,128.5
Zürich,0.9415,165.1
Zürich,0.1036,100.3
Zürich,0.4765,109.1
Zürich,0.8613,74.27
Zürich,0.1817,121.9
Zürich,0.9170,42.58
Zürich,0.4124,119.8
Zürich,0.3068,159.8
Zürich,0.3109,34.44
Zürich,0.1215,150.0
Zürich,0.6398,103.8
Zürich,0.9545,38.14
Zürich,0.4469,121.3
Zürich,0.3438,125.7
Zürich,0.8625,27.07
Zürich,0.7777,12.79
Zürich,0.2193,117.7
Zürich,0.1944,139.2
Zürich,0.5559,44.71
Zürich,0.04951,136.9
Zürich,0.6596,0.7780
Zürich,0.1748,2.438
Zürich,0.6688,100.5
Zürich,0.6194,101.9
Zürich,0.9255,0.2971
Zürich,0.1182,37.59
Zürich,0.4700,199.0
Bern,0.6491,63.87
Bern,0.4301,100.6
Bern,0.3889,103.5
Bern,0.5035,76.83
Bern,0.6226,106.9
Bern,0.2689,42.04
Bern,0.7711,189.5
Bern,0.6019,138.6
Bern,0.1430,84.96
Bern,0.5838,18.31
Bern,0.5617,68.08
Bern,0.1111,149.8
Bern,0.8307,69.21
Bern,0.7592,131.0
Bern,0.2759,145.1
Bern,0.1834,186.0
Bern,0.2608,155.2
Bern,0.9873,71.14
Bern,0.9760,64.32
Bern,0.1277,62.37
Bern,0.4701,138.3
Bern,0.5985,188.3
Bern,0.4390,171.0
Bern,0.7656,110.2
Bern,0.5516,150.0
Bern,0.8593,115.3
Bern,0.2826,192.5
Bern,0.4997,73.88
Bern,0.7235,7.242
Bern,0.2935,94.64
Bern,0.5421,67.55
Bern,0.02036,179.6
Bern,0.1022,96.76
Bern,0.7314,16.36
Bern,0.3346,70.38
Bern,0.4169,107.5
Bern,0.8398,64.49
Bern,0.9081,195.3
Bern,0.4357,42.12
Bern,0.06832,8.296
Bern,0.4159,180.4
Bern,0.3632,57.90
Bern,0.8448,163.8
Bern,0.4627,153.7
Bern,0.4536,84.44
Bern,0.4468,54.06
Bern,0.2042,96.46
Bern,0.7878,116.4
Bern,0.3383,174.1
Bern,0.02328,87.67
